	test_statistic	p	-log2(p)	FDR_corrected_p
SON_mutation_status	0.1049573995390836	0.7459597669852781	0.42283027343644614	0.999934250474592
SORCS1_mutation_status	0.044935450410251924	0.8321227662376991	0.2651317045300027	0.999934250474592
SORCS3_mutation_status	0.0006188357727783198	0.980153543530864	0.028920326129850273	0.999934250474592
SORL1_mutation_status	0.19198341933540458	0.6612709363636304	0.5966866000655004	0.999934250474592
SOX7_mutation_status	11.389354771865898	0.0007386618316674215	10.402798347297942	0.04231856239056503
SPAG17_mutation_status	0.2781588708878834	0.5979105048304139	0.7419985367177693	0.999934250474592
SPATA31A6_mutation_status	0.0001753295699505593	0.9894353538700872	0.01532264501503898	0.999934250474592
SPATA31D1_mutation_status	1.119950122242476	0.2899291941659673	1.7862274832615566	0.999934250474592
SPEF2_mutation_status	0.2934220847541718	0.5880358774600469	0.7660239149028483	0.999934250474592
SPEG_mutation_status	0.25864149675073933	0.6110550044573715	0.7106258439985252	0.999934250474592
SPEN_mutation_status	0.8372022470283965	0.3601981573945674	1.4731372937778744	0.999934250474592
SPHKAP_mutation_status	0.4787590731504325	0.4889849437716409	1.0321380507331588	0.999934250474592
SPTA1_mutation_status	0.5883254139910822	0.44306740227840735	1.1744019073125584	0.999934250474592
SPTAN1_mutation_status	0.024350491003048525	0.8759964168282061	0.1910031262421354	0.999934250474592
SPTBN1_mutation_status	0.0041197016664424975	0.9488229989289219	0.07578911447376553	0.999934250474592
SPTBN2_mutation_status	0.628306761249536	0.42797708599587114	1.224394538459708	0.999934250474592
SPTBN4_mutation_status	0.11728925339706144	0.7319933145157931	0.4500976228247069	0.999934250474592
SPTBN5_mutation_status	0.3101698116085512	0.5775760008552642	0.7919172975487291	0.999934250474592
SPTB_mutation_status	0.5844731562684561	0.4445643084506904	1.1695359676833603	0.999934250474592
SRCAP_mutation_status	5.4679519427679715	0.019368309899093102	5.69015812156295	0.3806293945386992
